Index,Time,Position1 - m,Load1 - kg,PauseCycle,Mark1,Mark2,Motion,Upper Limit,Lower Limit,Emergency Stop,force
261,8787,0.07263,3.81211,0,0,0,1,0,0,0,37.358678
262,8818,0.072908,3.82767,0,0,0,1,0,0,0,37.511166
263,8849,0.073188,3.84323,0,0,0,1,0,0,0,37.663654
264,8911,0.073466,3.84323,0,0,0,1,0,0,0,37.663654
265,8943,0.073745,3.84323,0,0,0,1,0,0,0,37.663654
266,8974,0.074024,3.82767,0,0,0,1,0,0,0,37.511166
267,9005,0.074303,3.81211,0,0,0,1,0,0,0,37.358678
268,9037,0.074582,3.81211,0,0,0,1,0,0,0,37.358678
269,9068,0.074861,3.796551,0,0,0,1,0,0,0,37.2061998
270,9099,0.075139,3.780991,0,0,0,1,0,0,0,37.0537118
271,9130,0.075418,3.780991,0,0,0,1,0,0,0,37.0537118
272,9161,0.075697,3.780991,0,0,0,1,0,0,0,37.0537118
273,9193,0.075976,3.749872,0,0,0,1,0,0,0,36.7487456
274,9224,0.076255,3.734312,0,0,0,1,0,0,0,36.5962576
275,9255,0.076534,3.718753,0,0,0,1,0,0,0,36.4437794
276,9302,0.076813,3.718753,0,0,0,1,0,0,0,36.4437794
277,9333,0.077091,3.718753,0,0,0,1,0,0,0,36.4437794
278,9365,0.077371,3.718753,0,0,0,1,0,0,0,36.4437794
279,9396,0.077649,3.718753,0,0,0,1,0,0,0,36.4437794
280,9427,0.077928,3.718753,0,0,0,1,0,0,0,36.4437794
281,9458,0.078206,3.718753,0,0,0,1,0,0,0,36.4437794
282,9505,0.078485,3.718753,0,0,0,1,0,0,0,36.4437794
283,9539,0.078764,3.703193,0,0,0,1,0,0,0,36.2912914
284,9570,0.079043,3.687633,0,0,0,1,0,0,0,36.1388034
285,9601,0.079322,0.40455,0,0,0,1,0,0,0,3.96459
286,9633,0.079601,0.031119,0,0,0,1,0,0,0,0.3049662
287,9664,0.07988,0.031119,0,0,0,1,0,0,0,0.3049662
288,9695,0.080159,0.01556,0,0,0,1,0,0,0,0.152488
289,9726,0.080438,0.01556,0,0,0,1,0,0,0,0.152488
